Type,Day,Pillar,Concept,Hook,Spanish_Version,Status,Posted_Date,Views,Saves,Shares,Notes
CALENDAR,1,Shia Songs,Shia Songs first-listen (mom),"We turned her baby's name into a song. Watch her face.",Yes,Not started,,,,,
CALENDAR,2,Educational,Newborn essentials checklist (carousel + Reel),"Things nobody tells first-time moms about newborn clothes.",No,Not started,,,,,
CALENDAR,3,Product,ASMR gift wrapping (the Ritual),"POV: your gift is the one everyone talks about.",No,Not started,,,,,
CALENDAR,4,Emotional,Grandma opens a keepsake,"This made the abuela cry",Yes,Not started,,,,,
CALENDAR,5,Local,Behind the boutique / owner story,"Why a McAllen mom opened this boutique.",No,Not started,,,,,
CALENDAR,6,Product,Gift bundle reveal - The First Song Set,"The baby shower gift that beats everyone else's.",No,Not started,,,,,
CALENDAR,7,Social proof,Customer testimonial / repost,"Our Hearth Mamas said it best",No,Not started,,,,,
CALENDAR,8,Trend,Trend-jack with trending sound + products,"(use the week's trending audio)",No,Not started,,,,,
CALENDAR,9,Emotional,Rainbow baby tribute,"For the mamas who waited. This one's for you.",Yes,Not started,,,,,
CALENDAR,10,Product,"Rating baby gifts worst to best, ends on keepsake","Most baby gifts are forgettable. Not this one.",No,Not started,,,,,
CALENDAR,11,Emotional,Gender-reveal moment in store,"We filmed the moment they found out.",No,Not started,,,,,
CALENDAR,12,Shia Songs,Shia Song sample over baby photos,"Press play. Try not to cry.",Yes,Not started,,,,,
CALENDAR,13,Engagement,Stories poll: this-or-that outfits,"Help us pick - which is cuter?",No,Not started,,,,,
CALENDAR,14,Local,Local pride / Proudly McAllen,"Made in the Valley, loved for a lifetime.",Yes,Not started,,,,,
CALENDAR,15,Educational,"First-time mom guide: what you actually need","First baby? Save this so you don't overspend.",No,Not started,,,,,
CALENDAR,16,Product,Unboxing the Welcome Home Box,"Everything a new baby needs, in one box.",No,Not started,,,,,
CALENDAR,17,Shia Songs,Behind the scenes: writing a Shia Song,"How we write your baby's first song.",No,Not started,,,,,
CALENDAR,18,Emotional,Grandparent gift idea (FB-forward),"Grandparents: become the favorite.",Yes,Not started,,,,,
CALENDAR,19,Social proof,UGC repost from a Hearth Mama,"Our mamas film the best moments.",No,Not started,,,,,
CALENDAR,20,Product,Limited drop teaser (scarcity),"Only 12 made. When they're gone, they're gone.",No,Not started,,,,,
CALENDAR,21,Emotional,Keepsake she'll keep forever story,"20 years from now, she'll still have this.",No,Not started,,,,,
CALENDAR,22,Trend,Trend-jack #2,"(trending audio)",No,Not started,,,,,
CALENDAR,23,Local,"Q&A: where to get cute baby gifts in McAllen","Replying to your comment",No,Not started,,,,,
CALENDAR,24,Emotional,Mother's Day / seasonal tie-in,"The gift she'll actually remember.",No,Not started,,,,,
CALENDAR,25,Emotional,Reveal-in-a-box for far-away family,"Telling grandma she's a grandma - by mail.",No,Not started,,,,,
CALENDAR,26,Loyalty,Milestone Club explainer,"We'll remind you the moment baby needs the next size.",No,Not started,,,,,
CALENDAR,27,Local,Ambassador spotlight,"Meet a Hearth Mama.",Yes,Not started,,,,,
CALENDAR,28,Product,Bundle comparison / gift guide carousel,"Baby shower gifts, sorted by budget.",No,Not started,,,,,
CALENDAR,29,Emotional,Emotional brand film (30s),"Where first moments become forever.",Yes,Not started,,,,,
CALENDAR,30,Engagement,Month recap + giveaway / CTA,"Tag an expecting friend - one wins a Shia Song.",No,Not started,,,,,
IDEA,1,Shia Songs,First-listen reaction: new mom hears baby's song,,Yes,Backlog,,,,,
IDEA,2,Shia Songs,First-listen: grandparent hears it,,Yes,Backlog,,,,,
IDEA,3,Shia Songs,First-listen: dad tearing up,,No,Backlog,,,,,
IDEA,4,Shia Songs,First-listen: bilingual song abuela reacts,,Yes,Backlog,,,,,
IDEA,5,Shia Songs,"Press play, try not to cry - sample over baby photos",,Yes,Backlog,,,,,
IDEA,6,Shia Songs,Behind the scenes: writing lyrics from parents' story,,No,Backlog,,,,,
IDEA,7,Shia Songs,We asked their story then made this song,,No,Backlog,,,,,
IDEA,8,Shia Songs,Song + lyric keepsake unboxing,,No,Backlog,,,,,
IDEA,9,Shia Songs,Rainbow-baby song tribute,,No,Backlog,,,,,
IDEA,10,Shia Songs,Telling the gender through a custom song,,No,Backlog,,,,,
IDEA,11,Shia Songs,Sibling hears the new baby's song,,No,Backlog,,,,,
IDEA,12,Shia Songs,Time-lapse of the lyric card being hand-written,,No,Backlog,,,,,
IDEA,13,Shia Songs,POV: your baby has their own song,,No,Backlog,,,,,
IDEA,14,Shia Songs,Growing-Up Song subscription explainer,,No,Backlog,,,,,
IDEA,15,Shia Songs,Song played at the baby shower - crowd reaction,,No,Backlog,,,,,
IDEA,16,Shia Songs,Most expensive vs most meaningful baby gift,,No,Backlog,,,,,
IDEA,17,Shia Songs,The song as a first-birthday surprise,,No,Backlog,,,,,
IDEA,18,Shia Songs,Customer duet: parent replays the song a year later,,No,Backlog,,,,,
IDEA,19,Emotional,Grandma opening a keepsake,,Yes,Backlog,,,,,
IDEA,20,Emotional,She kept it for 20 years heirloom story,,No,Backlog,,,,,
IDEA,21,Emotional,Rainbow baby tribute,,No,Backlog,,,,,
IDEA,22,Emotional,Angel baby remembrance keepsake (handled with care),,No,Backlog,,,,,
IDEA,23,Emotional,NICU graduate homecoming gift,,No,Backlog,,,,,
IDEA,24,Emotional,Adoption welcome home moment,,No,Backlog,,,,,
IDEA,25,Emotional,First Christmas keepsake reveal,,Yes,Backlog,,,,,
IDEA,26,Emotional,The gift that made the whole room cry,,No,Backlog,,,,,
IDEA,27,Emotional,Long-distance reveal by mail to family,,No,Backlog,,,,,
IDEA,28,Emotional,Twins announcement gift,,No,Backlog,,,,,
IDEA,29,Emotional,From bump to baby - customer journey with your products,,No,Backlog,,,,,
IDEA,30,Emotional,Letter to the baby tucked in the box,,No,Backlog,,,,,
IDEA,31,Emotional,A dad's first gift for his daughter,,No,Backlog,,,,,
IDEA,32,Emotional,Military parent meets baby - homecoming gift,,No,Backlog,,,,,
IDEA,33,Emotional,"Years from now, she'll know she was loved like this",,No,Backlog,,,,,
IDEA,34,Emotional,The memory box being filled over the first year,,No,Backlog,,,,,
IDEA,35,Product,ASMR wrapping the Ritual (box seal ribbon),,No,Backlog,,,,,
IDEA,36,Product,New arrivals haul / what just landed,,No,Backlog,,,,,
IDEA,37,Product,Limited drop - only 12 made,,No,Backlog,,,,,
IDEA,38,Product,Gift bundle reveals (one per bundle),,No,Backlog,,,,,
IDEA,39,Product,Outfit flat-lay styling,,No,Backlog,,,,,
IDEA,40,Product,Build the perfect baby shower gift with me,,No,Backlog,,,,,
IDEA,41,Product,Newborn essentials ranked,,No,Backlog,,,,,
IDEA,42,Product,Texture/fabric close-ups (heirloom feel),,No,Backlog,,,,,
IDEA,43,Product,Color-story reel (cream/powder blue),,No,Backlog,,,,,
IDEA,44,Product,"Tiny clothes, big feelings",,No,Backlog,,,,,
IDEA,45,Product,Personalized blanket embroidery time-lapse,,No,Backlog,,,,,
IDEA,46,Product,Memory box system walkthrough,,No,Backlog,,,,,
IDEA,47,Product,Personalized storybook flip-through,,No,Backlog,,,,,
IDEA,48,Product,Big-sister/brother gift set,,No,Backlog,,,,,
IDEA,49,Product,Seasonal collection lookbook,,No,Backlog,,,,,
IDEA,50,Product,Wrap it like Shia & Co. tutorial,,No,Backlog,,,,,
IDEA,51,Product,Gift card / Shia Song gift card for grandparents,,No,Backlog,,,,,
IDEA,52,Product,Price-tiered gift guide (gifts from $25),,No,Backlog,,,,,
IDEA,53,Educational,Things nobody tells first-time moms about sizes,,No,Backlog,,,,,
IDEA,54,Educational,Newborn registry must-haves vs skip-its,,No,Backlog,,,,,
IDEA,55,Educational,How many onesies do you actually need,,No,Backlog,,,,,
IDEA,56,Educational,Hospital bag baby checklist,,No,Backlog,,,,,
IDEA,57,Educational,What to gift if you don't know the gender,,No,Backlog,,,,,
IDEA,58,Educational,Decoding baby clothing sizes by month,,No,Backlog,,,,,
IDEA,59,Educational,Cheap vs worth-it baby items,,No,Backlog,,,,,
IDEA,60,Educational,How to pick a baby shower gift she'll love,,No,Backlog,,,,,
IDEA,61,Educational,Seasonal dressing for RGV heat,,Yes,Backlog,,,,,
IDEA,62,Educational,Keepsakes worth keeping vs clutter,,No,Backlog,,,,,
IDEA,63,Educational,First baby on a budget guide,,No,Backlog,,,,,
IDEA,64,Educational,Mistakes first-time parents make buying clothes,,No,Backlog,,,,,
IDEA,65,Educational,How a personalized gift beats a gift card,,No,Backlog,,,,,
IDEA,66,Educational,Questions to ask before your baby shower,,No,Backlog,,,,,
IDEA,67,Local,Proudly McAllen brand film,,Yes,Backlog,,,,,
IDEA,68,Local,RGV mom-creator collab,,No,Backlog,,,,,
IDEA,69,Local,Pop-up booth at a local market/expo,,No,Backlog,,,,,
IDEA,70,Local,Partner spotlight (birth photographer baker),,No,Backlog,,,,,
IDEA,71,Local,Where to get cute baby gifts in the Valley,,No,Backlog,,,,,
IDEA,72,Local,Customer shoutout / Hearth Mama feature,,Yes,Backlog,,,,,
IDEA,73,Local,Grand opening recap,,No,Backlog,,,,,
IDEA,74,Local,A day in the life of a Valley boutique owner,,No,Backlog,,,,,
IDEA,75,Local,Local charity / NICU giveback moment,,No,Backlog,,,,,
IDEA,76,Local,Quinceanera/bridal expo presence (future moms),,No,Backlog,,,,,
IDEA,77,Local,"956 moms, this one's for you",,No,Backlog,,,,,
IDEA,78,Local,Behind the storefront photo-moment wall,,No,Backlog,,,,,
IDEA,79,Trend,Trending sound over wrapping the Ritual,,No,Backlog,,,,,
IDEA,80,Trend,Rate my packaging trend,,No,Backlog,,,,,
IDEA,81,Trend,Tell me you're a new mom without telling me,,No,Backlog,,,,,
IDEA,82,Trend,Things in my boutique that just make sense,,No,Backlog,,,,,
IDEA,83,Trend,Green-screen react to baby-gift fails online,,No,Backlog,,,,,
IDEA,84,Trend,POV: it's your first baby shower as the mom,,No,Backlog,,,,,
IDEA,85,Trend,Get-ready-with-me to open the store,,No,Backlog,,,,,
IDEA,86,Trend,Expectation vs reality: baby gift edition,,No,Backlog,,,,,
IDEA,87,Trend,Trending dance with the teddy bear mascot,,No,Backlog,,,,,
IDEA,88,Trend,Comment your due date prompt,,No,Backlog,,,,,
IDEA,89,Trend,Guess the gender by the gift game,,No,Backlog,,,,,
IDEA,90,Trend,Duet/stitch a viral pregnancy announcement,,No,Backlog,,,,,
IDEA,91,Social proof,Wall of 5-star Google reviews on screen,,No,Backlog,,,,,
IDEA,92,Social proof,Sold out in 24 hours - restocking soon,,No,Backlog,,,,,
IDEA,93,Loyalty,Milestone Club explainer (the repeat hook),,No,Backlog,,,,,
IDEA,94,Loyalty,Referral program: Give $10 get $10,,No,Backlog,,,,,
IDEA,95,Engagement,Giveaway launch: Tag 2 expecting friends,,No,Backlog,,,,,
IDEA,96,Social proof,Customer testimonial compilation,,Yes,Backlog,,,,,
IDEA,97,Social proof,Most-gifted item this month,,No,Backlog,,,,,
IDEA,98,Product,Countdown to a limited drop,,No,Backlog,,,,,
IDEA,99,Product,Before they're gone last-chance drop,,No,Backlog,,,,,
IDEA,100,Emotional,Brand film: Where first moments become forever,,Yes,Backlog,,,,,
